,Ti(t),Ta(t+1),Ps(t+1),Ph(t+1),dTi(t+1)
0,24.5,13.8,0.0,0.0,0.0
1,24.5,13.7,0.0,0.0,0.0
2,24.5,13.7,0.0,0.0,0.0
3,24.5,13.6,0.0,0.0,0.0
4,24.5,13.6,0.0,0.0,0.0
5,24.5,13.4,0.0,0.0,0.0
