,Ti(t),Ta(t+1),Ps(t+1),Ph(t+1),dTi(t+1)
0,23.7,11.0,0.0,0.0,-0.05
1,23.65,11.0,0.0,0.0,-0.05
2,23.6,10.9,0.0,0.0,-0.1
3,23.5,10.8,0.0,0.0,0.0
4,23.5,10.6,0.0,0.0,0.0
5,23.5,10.5,0.0,0.0,-0.1
