,date_recorded,time_recorded,humidity_indoor,temperature_indoor
0,01/05/2019,02:00:24,39.5,26.9
1,01/05/2019,02:15:24,39.5,26.9
2,01/05/2019,02:30:26,39.5,26.9
3,01/05/2019,02:45:24,39.5,26.8
4,01/05/2019,03:00:24,39.5,26.8
5,01/05/2019,03:15:24,39.5,26.8
6,01/05/2019,03:30:24,39.5,26.8
7,01/05/2019,03:45:24,39.5,26.8
8,01/05/2019,04:00:24,39.4,26.8
9,01/05/2019,04:15:24,39.4,26.7
10,01/05/2019,04:30:24,39.4,26.7
11,01/05/2019,04:45:24,39.4,26.7
12,01/05/2019,05:00:24,39.4,26.7
13,01/05/2019,05:15:25,39.4,26.7
14,01/05/2019,05:30:24,39.4,26.7
15,01/05/2019,05:45:24,39.3,26.7
16,01/05/2019,06:00:27,39.3,26.6
17,01/05/2019,06:15:24,39.3,26.6
18,01/05/2019,06:30:24,39.3,26.6
19,01/05/2019,06:45:25,39.2,26.6
20,01/05/2019,07:00:25,39.2,26.6
21,01/05/2019,07:15:24,39.2,26.6
22,01/05/2019,07:30:25,39.8,26.4
23,01/05/2019,07:45:24,39.8,26.4
24,01/05/2019,08:00:24,39.7,26.4
25,01/05/2019,08:15:25,39.7,26.4
26,01/05/2019,08:30:24,39.7,26.4
27,01/05/2019,08:45:25,39.6,26.4
28,01/05/2019,09:00:23,39.6,26.4
29,01/05/2019,09:15:24,39.5,26.4
30,01/05/2019,09:30:24,39.5,26.5
31,01/05/2019,09:45:24,39.6,26.5
32,01/05/2019,10:00:25,39.4,26.5
33,01/05/2019,10:15:24,39.2,26.6
34,01/05/2019,10:30:24,39.2,26.6
35,01/05/2019,10:45:25,39.2,26.7
36,01/05/2019,11:15:25,39.0,26.8
37,01/05/2019,11:30:29,38.9,26.8
38,01/05/2019,11:45:25,39.0,26.8
39,01/05/2019,12:00:25,38.9,26.9
40,01/05/2019,12:15:24,39.0,26.9
41,01/05/2019,12:30:24,38.6,27.0
42,01/05/2019,12:45:24,38.7,27.0
43,01/05/2019,13:00:24,38.7,27.0
44,01/05/2019,13:15:24,38.6,27.0
45,01/05/2019,13:30:24,38.6,27.0
46,01/05/2019,13:45:24,38.5,27.0
47,01/05/2019,14:00:22,38.5,27.0
48,01/05/2019,14:15:25,38.4,27.1
49,01/05/2019,14:30:24,38.3,27.0
50,01/05/2019,14:45:23,38.2,27.1
51,01/05/2019,15:00:24,38.1,27.0
52,01/05/2019,15:15:24,38.2,27.0
53,01/05/2019,15:30:22,38.1,27.0
54,01/05/2019,15:45:25,38.2,27.0
55,01/05/2019,16:00:22,38.2,27.0
56,01/05/2019,16:15:25,38.2,26.9
57,01/05/2019,16:30:22,38.2,26.9
