,date_recorded,time_recorded,energy_active,energy_apparent,energy_reactive_cap,energy_reactive_ind,power_active,power_apparent,power_reactive
0,01/05/2019,02:00:15,30324.3,37731.4,6289.6,6278.3,129,429,4294966947
1,01/05/2019,02:15:15,30324.4,37731.5,6289.700000000001,6278.3,129,429,4294966947
2,01/05/2019,02:30:15,30324.4,37731.6,6289.700000000001,6278.3,129,419,4294966956
3,01/05/2019,02:45:15,30324.4,37731.6,6289.8,6278.3,129,419,4294966956
4,01/05/2019,03:00:15,30324.5,37731.8,6289.8,6278.3,129,419,4294966956
5,01/05/2019,03:15:15,30324.5,37731.9,6290.0,6278.3,129,419,4294966956
6,01/05/2019,03:30:15,30324.5,37732.0,6290.1,6278.3,129,419,4294966956
7,01/05/2019,03:45:15,30324.5,37732.1,6290.200000000001,6278.3,129,419,4294966956
8,01/05/2019,04:00:15,30324.5,37732.3,6290.3,6278.3,129,419,4294966956
9,01/05/2019,04:15:15,30324.5,37732.4,6290.3,6278.3,129,419,4294966956
10,01/05/2019,04:30:15,30324.7,37732.5,6290.3,6278.3,129,419,4294966956
11,01/05/2019,04:45:15,30324.7,37732.6,6290.5,6278.3,129,429,4294966947
12,01/05/2019,05:00:15,30324.7,37732.6,6290.6,6278.3,129,419,4294966956
13,01/05/2019,05:15:16,30324.8,37732.8,6290.700000000001,6278.3,129,429,4294966947
14,01/05/2019,05:30:15,30324.8,37732.9,6290.8,6278.3,129,429,4294966947
15,01/05/2019,05:45:15,30324.8,37733.0,6290.8,6278.3,129,429,4294966947
16,01/05/2019,06:00:16,30324.9,37733.1,6290.8,6278.3,129,429,4294966947
17,01/05/2019,06:15:15,30324.9,37733.3,6291.0,6278.3,129,419,4294966956
18,01/05/2019,06:30:15,30324.9,37733.4,6291.1,6278.3,129,429,4294966947
19,01/05/2019,06:45:16,30325.0,37733.5,6291.200000000001,6278.3,129,429,4294966947
20,01/05/2019,07:00:15,30325.0,37733.6,6291.3,6278.3,129,419,4294966956
21,01/05/2019,07:15:15,30325.0,37733.6,6291.3,6278.3,129,419,4294966956
22,01/05/2019,07:30:15,30325.0,37733.8,6291.5,6278.3,129,419,4294966956
23,01/05/2019,07:45:15,30325.0,37733.9,6291.5,6278.3,129,419,4294966956
24,01/05/2019,08:00:15,30325.0,37734.0,6291.6,6278.3,129,419,4294966956
25,01/05/2019,08:15:15,30325.2,37734.1,6291.700000000001,6278.3,119,409,4294966956
26,01/05/2019,08:30:13,30325.2,37734.1,6291.8,6278.3,129,419,4294966956
27,01/05/2019,08:45:16,30325.2,37734.3,6291.8,6278.3,119,409,4294966956
28,01/05/2019,09:00:13,30325.3,37734.4,6292.0,6278.3,119,409,4294966956
29,01/05/2019,09:15:15,30325.3,37734.6,6292.1,6278.3,179,419,4294966967
30,01/05/2019,09:30:15,30325.3,37734.6,6292.1,6278.3,179,419,4294966967
31,01/05/2019,09:45:15,30325.4,37734.8,6292.200000000001,6278.3,179,419,4294966967
32,01/05/2019,10:00:16,30325.4,37734.9,6292.3,6278.3,179,419,4294966967
33,01/05/2019,10:15:15,30325.5,37735.0,6292.3,6278.3,179,419,4294966967
34,01/05/2019,10:30:15,30325.5,37735.1,6292.5,6278.3,179,419,4294966967
35,01/05/2019,10:45:15,30325.5,37735.1,6292.6,6278.3,179,419,4294966967
36,01/05/2019,11:15:16,30325.7,37735.4,6292.700000000001,6278.3,179,419,4294966967
37,01/05/2019,11:30:15,30325.7,37735.5,6292.8,6278.3,179,419,4294966967
38,01/05/2019,11:45:16,30325.8,37735.6,6292.8,6278.3,179,419,4294966967
39,01/05/2019,12:00:16,30325.8,37735.6,6293.0,6278.3,179,419,4294966967
40,01/05/2019,12:15:15,30325.9,37735.8,6293.1,6278.3,179,419,4294966967
41,01/05/2019,12:30:15,30325.9,37736.0,6293.1,6278.3,179,419,4294966967
42,01/05/2019,12:45:15,30325.9,37736.1,6293.200000000001,6278.3,179,419,4294966967
43,01/05/2019,13:00:15,30326.0,37736.1,6293.3,6278.3,179,419,4294966967
44,01/05/2019,13:15:15,30326.0,37736.3,6293.3,6278.3,179,419,4294966967
45,01/05/2019,13:30:15,30326.0,37736.4,6293.5,6278.3,179,419,4294966967
46,01/05/2019,13:45:15,30326.0,37736.5,6293.5,6278.3,179,419,4294966967
47,01/05/2019,14:00:13,30326.2,37736.6,6293.6,6278.3,179,419,4294966967
48,01/05/2019,14:15:16,30326.2,37736.6,6293.700000000001,6278.3,179,419,4294966947
49,01/05/2019,14:30:15,30326.3,37736.8,6293.8,6278.3,179,419,4294966967
50,01/05/2019,14:45:13,30326.3,37736.9,6293.8,6278.3,179,419,4294966967
51,01/05/2019,15:00:15,30326.4,37737.0,6294.0,6278.3,179,419,4294966967
52,01/05/2019,15:15:15,30326.4,37737.1,6294.0,6278.3,179,419,4294966967
53,01/05/2019,15:30:13,30326.4,37737.1,6294.1,6278.3,179,419,4294966967
54,01/05/2019,15:45:16,30326.5,37737.4,6294.200000000001,6278.3,179,419,4294966967
55,01/05/2019,16:00:13,30326.5,37737.5,6294.3,6278.3,179,419,4294966967
56,01/05/2019,16:15:16,30326.5,37737.6,6294.3,6278.3,179,419,4294966967
57,01/05/2019,16:30:13,30326.5,37737.6,6294.5,6278.3,179,419,4294966967
58,01/05/2019,16:45:16,30326.7,37737.8,6294.5,6278.3,179,419,4294966967
59,01/05/2019,17:00:13,30326.7,37737.9,6294.6,6278.3,179,419,4294966967
60,01/05/2019,17:15:16,30326.8,37738.0,6294.700000000001,6278.3,179,419,4294966967
61,01/05/2019,17:30:13,30326.8,37738.1,6294.8,6278.3,179,419,4294966967
62,01/05/2019,17:45:16,30326.9,37738.1,6294.8,6278.3,179,419,4294966967
63,01/05/2019,18:00:13,30326.9,37738.3,6295.0,6278.3,179,419,4294966967
64,01/05/2019,18:15:15,30326.9,37738.4,6295.0,6278.3,179,419,4294966967
65,01/05/2019,18:30:15,30327.0,37738.5,6295.1,6278.3,179,419,4294966967
66,01/05/2019,18:45:15,30327.0,37738.6,6295.200000000001,6278.3,179,419,4294966967
67,01/05/2019,19:00:15,30327.0,37738.8,6295.3,6278.3,179,419,4294966967
68,01/05/2019,19:15:15,30327.0,37738.9,6295.3,6278.3,179,419,4294966967
69,01/05/2019,19:30:15,30327.2,37739.0,6295.3,6278.3,179,419,4294966967
70,01/05/2019,19:45:16,30327.2,37739.1,6295.5,6278.3,179,419,4294966967
71,01/05/2019,20:00:16,30327.3,37739.1,6295.6,6278.3,179,419,4294966967
72,01/05/2019,20:15:14,30327.3,37739.3,6295.700000000001,6278.3,129,419,4294966956
73,01/05/2019,20:45:16,30327.4,37739.5,6295.8,6278.3,129,419,4294966956
74,01/05/2019,21:00:15,30327.4,37739.6,6296.0,6278.3,119,419,4294966937
75,01/05/2019,21:15:15,30327.4,37739.6,6296.0,6278.3,119,419,4294966937
76,01/05/2019,21:30:15,30327.5,37739.8,6296.1,6278.3,129,419,4294966956
77,01/05/2019,21:45:13,30327.5,37739.9,6296.200000000001,6278.3,129,419,4294966956
78,01/05/2019,22:00:16,30327.5,37740.1,6296.3,6278.3,129,419,4294966956
79,01/05/2019,22:15:15,30327.5,37740.1,6296.3,6278.3,129,429,4294966947
80,01/05/2019,22:30:13,30327.5,37740.3,6296.5,6278.3,129,429,4294966947
81,01/05/2019,22:45:15,30327.5,37740.4,6296.6,6278.3,129,429,4294966947
82,01/05/2019,23:00:15,30327.7,37740.5,6296.6,6278.3,129,429,4294966947
83,01/05/2019,23:15:13,30327.7,37740.6,6296.700000000001,6278.3,129,429,4294966947
84,01/05/2019,23:30:16,30327.7,37740.6,6296.8,6278.3,129,429,4294966947
85,01/05/2019,23:45:13,30327.8,37740.8,6296.8,6278.3,129,429,4294966947
86,02/05/2019,00:00:17,30327.8,37740.9,6297.0,6278.3,129,429,4294966947
87,02/05/2019,00:15:16,30327.8,37741.1,6297.1,6278.3,129,429,4294966947
88,02/05/2019,00:30:13,30327.9,37741.1,6297.200000000001,6278.3,129,429,4294966947
89,02/05/2019,00:45:16,30327.9,37741.3,6297.3,6278.3,129,429,4294966947
90,02/05/2019,01:00:13,30327.9,37741.4,6297.3,6278.3,129,429,4294966947
91,02/05/2019,01:15:16,30328.0,37741.5,6297.3,6278.3,129,429,4294966947
92,02/05/2019,01:30:14,30328.0,37741.6,6297.5,6278.3,129,429,4294966947
93,02/05/2019,01:45:16,30328.0,37741.6,6297.6,6278.3,129,429,4294966947
94,02/05/2019,02:00:13,30328.0,37741.8,6297.700000000001,6278.3,129,429,4294966947
95,02/05/2019,02:15:15,30328.0,37741.9,6297.8,6278.3,129,429,4294966947
96,02/05/2019,02:30:15,30328.0,37742.1,6297.8,6278.3,129,429,4294966947
97,02/05/2019,02:45:15,30328.2,37742.1,6298.0,6278.3,129,429,4294966947
98,02/05/2019,03:00:15,30328.2,37742.3,6298.0,6278.3,129,429,4294966947
99,02/05/2019,03:15:16,30328.2,37742.4,6298.1,6278.3,129,429,4294966947
100,02/05/2019,03:30:15,30328.3,37742.5,6298.200000000001,6278.3,129,429,4294966947
101,02/05/2019,03:45:15,30328.3,37742.6,6298.3,6278.3,129,429,4294966947
102,02/05/2019,04:00:15,30328.3,37742.6,6298.3,6278.3,129,429,4294966947
103,02/05/2019,04:15:15,30328.4,37742.8,6298.5,6278.3,129,429,4294966947
104,02/05/2019,04:30:15,30328.4,37742.9,6298.6,6278.3,129,429,4294966947
105,02/05/2019,04:45:16,30328.4,37743.1,6298.700000000001,6278.3,129,429,4294966947
106,02/05/2019,05:00:15,30328.5,37743.1,6298.700000000001,6278.3,129,429,4294966947
107,02/05/2019,05:15:15,30328.5,37743.3,6298.8,6278.3,129,429,4294966947
108,02/05/2019,05:30:16,30328.5,37743.4,6298.8,6278.3,129,429,4294966947
109,02/05/2019,05:45:15,30328.5,37743.5,6299.0,6278.3,129,429,4294966947
110,02/05/2019,06:15:16,30328.5,37743.6,6299.200000000001,6278.3,129,419,4294966956
111,02/05/2019,06:30:13,30328.7,37743.8,6299.3,6278.3,129,419,4294966956
112,02/05/2019,06:45:16,30328.7,37743.9,6299.3,6278.3,119,419,4294966937
113,02/05/2019,07:00:13,30328.7,37744.0,6299.3,6278.3,129,419,4294966956
114,02/05/2019,07:15:16,30328.8,37744.1,6299.5,6278.3,119,419,4294966937
115,02/05/2019,07:30:13,30328.8,37744.3,6299.6,6278.3,209,500,4294967117
116,02/05/2019,07:45:16,30328.9,37744.4,6299.6,6278.3,209,509,4294967137
117,02/05/2019,08:00:13,30328.9,37744.5,6299.700000000001,6278.3,419,689,4294967027
118,02/05/2019,08:15:16,30330.2,37746.0,6299.700000000001,6278.6,7349,7989,4294966457
119,02/05/2019,08:30:13,30331.0,37747.0,6299.8,6278.8,5909,6559,4294966517
120,02/05/2019,08:45:16,30331.5,37747.5,6299.8,6279.1,939,979,269
121,02/05/2019,09:00:14,30331.8,37747.6,6299.8,6279.1,879,919,299
122,02/05/2019,09:15:15,30332.0,37748.0,6299.8,6279.200000000001,939,979,310
123,02/05/2019,09:30:15,30332.2,37748.1,6299.8,6279.3,930,979,310
124,02/05/2019,09:45:16,30332.5,37748.5,6299.8,6279.3,930,979,340
125,02/05/2019,10:00:15,30332.7,37748.6,6299.8,6279.3,930,979,259
126,02/05/2019,10:15:15,30332.9,37749.0,6299.8,6279.5,930,969,259
127,02/05/2019,10:30:15,30333.2,37749.1,6299.8,6279.6,930,979,340
128,02/05/2019,10:45:15,30333.5,37749.6,6299.8,6279.8,1959,2250,1069
129,02/05/2019,11:00:15,30334.5,37750.6,6299.8,6280.3,4839,5739,3069
130,02/05/2019,11:15:15,30335.5,37751.9,6299.8,6281.0,3599,4279,2299
131,02/05/2019,11:30:16,30336.3,37752.9,6299.8,6281.5,1000,1049,349
132,02/05/2019,11:45:15,30336.5,37753.1,6299.8,6281.6,1000,1039,269
133,02/05/2019,12:00:14,30336.8,37753.5,6299.8,6281.700000000001,1000,1039,269
134,02/05/2019,12:15:14,30337.0,37753.6,6299.8,6281.8,1000,1049,319
135,02/05/2019,12:30:14,30337.9,37754.6,6299.8,6282.3,3639,4309,2279
136,02/05/2019,12:45:15,30338.9,37755.8,6299.8,6282.8,4519,5359,2849
137,02/05/2019,13:00:14,30340.0,37757.1,6299.8,6283.6,2960,3490,1839
138,02/05/2019,13:15:14,30340.8,37758.1,6299.8,6284.1,3009,3589,1939
139,02/05/2019,13:30:14,30341.4,37758.8,6299.8,6284.3,3449,4110,2210
140,02/05/2019,13:45:15,30342.3,37759.9,6299.8,6285.0,5190,6109,3220
141,02/05/2019,14:00:14,30343.5,37761.5,6299.8,6285.700000000001,2629,3089,1610
142,02/05/2019,14:15:14,30345.0,37763.1,6299.8,6286.1,239,459,4294967037
143,02/05/2019,14:30:15,30345.5,37763.8,6299.8,6286.3,4900,5789,1110
144,02/05/2019,14:45:14,30347.0,37765.5,6299.8,6286.8,3720,4489,2500
145,02/05/2019,15:00:14,30348.0,37766.6,6299.8,6287.6,3849,4619,2549
146,02/05/2019,15:15:15,30349.0,37767.9,6299.8,6288.3,4400,5230,2809
147,02/05/2019,15:45:15,30350.3,37769.3,6299.8,6289.0,989,1039,319
148,02/05/2019,16:00:14,30350.5,37769.6,6299.8,6289.1,979,1029,310
149,02/05/2019,16:15:14,30350.8,37769.9,6299.8,6289.1,979,1029,280
150,02/05/2019,16:30:14,30351.0,37770.1,6299.8,6289.200000000001,1000,1039,280
151,02/05/2019,16:45:15,30351.4,37770.4,6299.8,6289.3,3039,3599,1899
152,02/05/2019,17:00:14,30352.3,37771.5,6299.8,6289.8,4730,5569,2909
153,02/05/2019,17:15:14,30353.7,37773.1,6300.0,6290.3,6719,7539,1159
154,02/05/2019,17:30:14,30355.2,37774.8,6300.0,6290.8,4900,5750,2970
155,02/05/2019,17:45:14,30356.3,37776.1,6300.0,6291.5,3179,3759,1990
156,02/05/2019,18:00:14,30357.0,37777.1,6300.0,6292.0,3059,3609,1889
157,02/05/2019,18:15:14,30357.8,37777.9,6300.0,6292.3,2859,3359,1730
158,02/05/2019,18:30:14,30358.5,37778.6,6300.0,6292.8,1019,1079,359
159,02/05/2019,18:45:14,30359.0,37779.5,6300.0,6293.200000000001,3250,3809,1959
160,02/05/2019,19:00:14,30359.9,37780.4,6300.0,6293.6,3049,3589,1870
161,02/05/2019,19:15:15,30360.5,37781.1,6300.0,6294.1,250,469,4294967037
162,02/05/2019,19:30:15,30360.8,37781.4,6300.0,6294.200000000001,560,629,289
163,02/05/2019,19:45:15,30360.9,37781.5,6300.0,6294.200000000001,560,629,289
164,02/05/2019,20:00:14,30361.0,37781.6,6300.0,6294.3,550,629,289
165,02/05/2019,20:15:14,30361.2,37781.9,6300.0,6294.3,140,419,4294966977
166,02/05/2019,20:30:14,30361.2,37782.0,6300.1,6294.3,140,419,4294966977
167,02/05/2019,20:45:14,30361.4,37782.1,6300.1,6294.5,3309,4000,2250
168,02/05/2019,21:00:14,30362.8,37783.8,6300.200000000001,6294.8,4569,5440,1230
169,02/05/2019,21:15:14,30363.4,37784.6,6300.200000000001,6295.0,179,449,4294967027
