,Ti(t),Ta(t+1),Ps(t+1),Ph(t+1),dTi(t+1)
0,24.2,13.2,0.0,0.0,-0.1
1,24.1,13.2,0.0,0.0,0.1
2,24.2,13.2,0.0,0.0,0.0
3,24.2,13.2,0.0,0.0,0.0
4,24.2,13.2,0.0,0.0,-0.1
5,24.1,13.1,0.0,0.0,0.0
