,date_recorded,time_recorded,energy_active,energy_apparent,energy_reactive_cap,energy_reactive_ind,power_active,power_apparent,power_reactive
0,01/05/2019,02:00:14,25575.9,31987.0,5943.1,5619.1,129,429,4294966947
1,01/05/2019,02:15:13,25575.9,31987.0,5943.200000000001,5619.1,129,429,4294966947
2,01/05/2019,02:30:13,25576.0,31987.2,5943.3,5619.1,129,419,4294966956
3,01/05/2019,02:45:13,25576.0,31987.3,5943.3,5619.1,129,419,4294966956
4,01/05/2019,03:00:13,25576.0,31987.4,5943.5,5619.1,129,419,4294966956
5,01/05/2019,03:15:14,25576.0,31987.5,5943.6,5619.1,129,429,4294966947
6,01/05/2019,03:30:14,25576.0,31987.7,5943.700000000001,5619.1,129,429,4294966947
7,01/05/2019,03:45:13,25576.0,31987.8,5943.700000000001,5619.1,129,429,4294966947
8,01/05/2019,04:00:14,25576.2,31987.9,5943.8,5619.1,129,429,4294966947
9,01/05/2019,04:15:14,25576.2,31988.0,5943.8,5619.1,129,429,4294966947
10,01/05/2019,04:30:13,25576.2,31988.0,5944.0,5619.1,129,429,4294966947
11,01/05/2019,04:45:14,25576.3,31988.2,5944.1,5619.1,129,429,4294966947
12,01/05/2019,05:00:13,25576.3,31988.3,5944.200000000001,5619.1,129,429,4294966947
13,01/05/2019,05:15:14,25576.3,31988.4,5944.3,5619.1,129,429,4294966947
14,01/05/2019,05:30:14,25576.4,31988.5,5944.3,5619.1,129,429,4294966947
15,01/05/2019,05:45:13,25576.4,31988.7,5944.3,5619.1,129,429,4294966947
16,01/05/2019,06:00:14,25576.4,31988.8,5944.5,5619.1,129,429,4294966947
17,01/05/2019,06:15:14,25576.5,31988.9,5944.6,5619.1,129,429,4294966947
18,01/05/2019,06:30:13,25576.5,31989.0,5944.700000000001,5619.1,129,439,4294966937
19,01/05/2019,06:45:14,25576.5,31989.0,5944.8,5619.1,129,429,4294966947
20,01/05/2019,07:00:14,25576.5,31989.2,5944.8,5619.1,119,419,4294966937
21,01/05/2019,07:15:13,25576.5,31989.3,5945.0,5619.1,129,419,4294966956
22,01/05/2019,07:30:14,25576.5,31989.4,5945.1,5619.1,119,419,4294966937
23,01/05/2019,07:45:13,25576.7,31989.5,5945.1,5619.1,129,419,4294966956
24,01/05/2019,08:00:13,25576.7,31989.5,5945.200000000001,5619.1,119,419,4294966937
25,01/05/2019,08:15:13,25576.7,31989.8,5945.3,5619.1,179,409,4294966967
26,01/05/2019,08:30:11,25576.8,31989.9,5945.3,5619.1,179,419,4294966947
27,01/05/2019,08:45:14,25576.8,31990.0,5945.5,5619.1,179,419,4294966947
28,01/05/2019,09:00:12,25576.9,31990.0,5945.6,5619.1,179,419,4294966947
29,01/05/2019,09:15:13,25576.9,31990.2,5945.700000000001,5619.1,179,419,4294966947
30,01/05/2019,09:30:14,25577.0,31990.3,5945.700000000001,5619.1,179,419,4294966967
31,01/05/2019,09:45:13,25577.0,31990.4,5945.8,5619.1,179,419,4294966967
32,01/05/2019,10:00:14,25577.0,31990.5,5945.8,5619.1,179,419,4294966967
33,01/05/2019,10:15:13,25577.0,31990.5,5946.0,5619.1,179,419,4294966967
34,01/05/2019,10:30:13,25577.0,31990.7,5946.1,5619.1,179,419,4294966967
35,01/05/2019,10:45:14,25577.2,31990.8,5946.200000000001,5619.1,179,419,4294966967
36,01/05/2019,11:15:14,25577.3,31991.0,5946.3,5619.1,179,419,4294966967
37,01/05/2019,11:30:14,25577.3,31991.2,5946.3,5619.1,179,419,4294966947
