,date_recorded,time_recorded,humidity_indoor,temperature_indoor
0,01/05/2019,02:00:23,42.4,25.5
1,01/05/2019,02:15:23,42.4,25.5
2,01/05/2019,02:30:25,42.4,25.5
3,01/05/2019,02:45:23,42.4,25.5
4,01/05/2019,03:00:23,42.3,25.4
5,01/05/2019,03:15:23,42.2,25.4
6,01/05/2019,03:30:23,42.1,25.4
7,01/05/2019,03:45:23,42.0,25.4
8,01/05/2019,04:00:23,42.0,25.4
9,01/05/2019,04:15:23,41.9,25.4
10,01/05/2019,04:30:23,41.8,25.4
11,01/05/2019,04:45:23,41.8,25.3
12,01/05/2019,05:00:23,41.7,25.3
13,01/05/2019,05:15:23,41.7,25.3
14,01/05/2019,05:30:23,41.6,25.3
15,01/05/2019,05:45:23,41.6,25.3
16,01/05/2019,06:00:25,41.5,25.3
17,01/05/2019,06:15:23,41.5,25.3
18,01/05/2019,06:30:23,41.4,25.3
19,01/05/2019,06:45:23,41.3,25.2
20,01/05/2019,07:00:23,41.3,25.2
21,01/05/2019,07:15:22,41.3,25.2
22,01/05/2019,07:30:23,41.3,25.2
23,01/05/2019,07:45:23,41.2,25.1
24,01/05/2019,08:00:22,41.2,25.1
25,01/05/2019,08:15:23,41.2,25.1
26,01/05/2019,08:30:22,41.3,25.1
27,01/05/2019,08:45:23,41.4,25.1
28,01/05/2019,09:00:21,41.5,25.1
29,01/05/2019,09:15:22,41.5,25.2
30,01/05/2019,09:30:23,41.5,25.2
31,01/05/2019,09:45:23,41.6,25.2
32,01/05/2019,10:00:23,41.6,25.3
33,01/05/2019,10:15:23,41.6,25.3
34,01/05/2019,10:30:23,41.6,25.3
35,01/05/2019,10:45:23,41.7,25.4
36,01/05/2019,11:15:24,41.8,25.5
37,01/05/2019,11:30:28,42.0,25.5
38,01/05/2019,11:45:23,42.1,25.5
39,01/05/2019,12:00:23,42.1,25.6
40,01/05/2019,12:15:23,42.1,25.6
41,01/05/2019,12:30:23,41.9,25.7
42,01/05/2019,12:45:23,41.8,25.7
43,01/05/2019,13:00:23,41.7,25.7
44,01/05/2019,13:15:23,41.7,25.8
45,01/05/2019,13:30:23,41.5,25.8
46,01/05/2019,13:45:22,41.3,25.8
47,01/05/2019,14:00:21,41.0,25.8
48,01/05/2019,14:15:23,40.7,25.8
49,01/05/2019,14:30:23,40.4,25.8
50,01/05/2019,14:45:21,40.2,25.9
51,01/05/2019,15:00:23,40.1,25.9
52,01/05/2019,15:15:23,40.1,25.9
53,01/05/2019,15:30:20,40.1,25.9
54,01/05/2019,15:45:23,40.1,25.8
55,01/05/2019,16:00:21,40.1,25.8
56,01/05/2019,16:15:23,40.1,25.8
57,01/05/2019,16:30:21,40.1,25.8
58,01/05/2019,16:45:23,40.1,25.8
