,date_recorded,time_recorded,energy_active,energy_apparent,energy_reactive_cap,energy_reactive_ind,power_active,power_apparent,power_reactive
0,1/5/2019,2:00:10,26888.7,33437.6,6202.6,4485.1,129,429,4294966947
1,1/5/2019,2:15:10,26888.7,33437.8,6202.7,4485.1,129,429,4294966947
2,1/5/2019,2:30:10,26888.8,33437.9,6202.8,4485.1,119,419,4294966937
3,1/5/2019,2:45:10,26888.8,33438,6202.8,4485.1,119,409,4294966956
4,1/5/2019,3:00:10,26888.8,33438.1,6202.8,4485.1,129,419,4294966956
5,1/5/2019,3:15:10,26888.9,33438.1,6203,4485.1,129,429,4294966947
6,1/5/2019,3:30:10,26888.9,33438.3,6203.1,4485.1,119,419,4294966947
7,1/5/2019,3:45:10,26888.9,33438.4,6203.2,4485.1,119,419,4294966947
8,1/5/2019,4:00:10,26889,33438.5,6203.3,4485.1,129,429,4294966947
9,1/5/2019,4:15:10,26889,33438.6,6203.3,4485.1,129,429,4294966947
10,1/5/2019,4:30:10,26889,33438.8,6203.5,4485.1,129,429,4294966947
11,1/5/2019,4:45:10,26889,33438.9,6203.6,4485.1,129,429,4294966947
12,1/5/2019,5:00:10,26889,33439,6203.6,4485.1,129,429,4294966947
13,1/5/2019,5:15:10,26889,33439.1,6203.7,4485.1,129,429,4294966947
14,1/5/2019,5:30:10,26889.2,33439.1,6203.8,4485.1,129,429,4294966947
15,1/5/2019,5:45:10,26889.2,33439.3,6203.8,4485.1,129,429,4294966947
16,1/5/2019,6:00:10,26889.2,33439.4,6204,4485.1,129,429,4294966947
17,1/5/2019,6:15:10,26889.3,33439.5,6204.1,4485.1,129,429,4294966947
18,1/5/2019,6:30:10,26889.3,33439.6,6204.2,4485.1,129,429,4294966947
19,1/5/2019,6:45:10,26889.3,33439.6,6204.3,4485.1,129,429,4294966947
20,1/5/2019,7:00:10,26889.4,33439.9,6204.3,4485.1,119,419,4294966937
21,1/5/2019,7:15:10,26889.4,33440,6204.3,4485.1,119,409,4294966956
22,1/5/2019,7:30:10,26889.4,33440.1,6204.5,4485.1,119,399,4294966967
23,1/5/2019,7:45:10,26889.5,33440.1,6204.6,4485.1,119,409,4294966947
24,1/5/2019,8:00:10,26889.5,33440.3,6204.7,4485.1,119,399,4294966967
25,1/5/2019,8:15:10,26889.5,33440.4,6204.8,4485.1,119,399,4294966967
26,1/5/2019,8:30:08,26889.5,33440.5,6204.8,4485.1,119,399,4294966967
27,1/5/2019,8:45:10,26889.5,33440.6,6204.8,4485.1,119,399,4294966967
28,1/5/2019,9:00:08,26889.5,33440.6,6205,4485.1,119,399,4294966967
29,1/5/2019,9:15:10,26889.7,33440.8,6205.1,4485.1,189,399,4294966986
30,1/5/2019,9:30:10,26889.7,33440.9,6205.2,4485.1,189,429,4294966967
31,1/5/2019,9:45:10,26889.8,33441,6205.3,4485.1,189,429,4294966967
32,1/5/2019,10:00:10,26889.8,33441.1,6205.3,4485.1,189,429,4294966967
33,1/5/2019,10:15:10,26889.8,33441.1,6205.3,4485.1,189,429,4294966947
34,1/5/2019,10:30:10,26889.9,33441.4,6205.5,4485.1,189,419,4294966956
35,1/5/2019,10:45:10,26889.9,33441.5,6205.6,4485.1,189,409,4294966977
36,1/5/2019,11:15:11,26890,33441.6,6205.7,4485.1,189,399,4294966986
37,1/5/2019,11:30:10,26890,33441.8,6205.8,4485.1,189,399,4294966986
38,1/5/2019,11:45:10,26890,33441.9,6205.8,4485.1,189,399,4294966986
39,1/5/2019,12:00:10,26890.2,33442,6206,4485.1,189,399,4294966986
40,1/5/2019,12:15:10,26890.2,33442.1,6206.1,4485.1,189,399,4294966986
41,1/5/2019,12:30:10,26890.3,33442.1,6206.1,4485.1,189,399,4294966986
42,1/5/2019,12:45:10,26890.3,33442.3,6206.2,4485.1,189,399,4294966986
43,1/5/2019,13:00:10,26890.4,33442.4,6206.3,4485.1,189,399,4294966986
44,1/5/2019,13:15:10,26890.4,33442.5,6206.3,4485.1,189,399,4294966986
45,1/5/2019,13:30:10,26890.5,33442.6,6206.3,4485.1,189,399,4294966986
46,1/5/2019,13:45:10,26890.5,33442.6,6206.5,4485.1,179,399,4294966986
47,1/5/2019,14:00:08,26890.5,33442.8,6206.6,4485.1,179,399,4294966986
48,1/5/2019,14:15:11,26890.5,33443,6206.7,4485.1,189,399,4294966986
49,1/5/2019,14:30:10,26890.7,33443.1,6206.8,4485.1,189,409,4294966967
50,1/5/2019,14:45:08,26890.7,33443.1,6206.8,4485.1,189,419,4294966956
51,1/5/2019,15:00:10,26890.8,33443.3,6206.8,4485.1,189,419,4294966956
52,1/5/2019,15:15:10,26890.8,33443.4,6207,4485.1,189,419,4294966977
53,1/5/2019,15:30:08,26890.9,33443.5,6207.1,4485.1,189,429,4294966967
54,1/5/2019,15:45:11,26890.9,33443.6,6207.2,4485.1,189,429,4294966967
55,1/5/2019,16:00:08,26890.9,33443.6,6207.3,4485.1,189,429,4294966967
56,1/5/2019,16:15:11,26891,33443.8,6207.3,4485.1,189,429,4294966967
57,1/5/2019,16:30:08,26891,33443.9,6207.3,4485.1,189,429,4294966967
58,1/5/2019,16:45:11,26891,33444,6207.5,4485.1,189,429,4294966967
59,1/5/2019,17:00:08,26891,33444.1,6207.6,4485.1,189,429,4294966967
60,1/5/2019,17:15:11,26891.2,33444.3,6207.7,4485.1,189,429,4294966967
61,1/5/2019,17:30:08,26891.2,33444.4,6207.7,4485.1,189,429,4294966947
62,1/5/2019,17:45:11,26891.3,33444.5,6207.8,4485.1,189,419,4294966967
63,1/5/2019,18:00:08,26891.3,33444.6,6207.8,4485.1,189,419,4294966956
64,1/5/2019,18:15:10,26891.4,33444.6,6208,4485.1,189,399,4294966986
65,1/5/2019,18:30:10,26891.4,33444.8,6208.1,4485.1,189,399,4294966986
66,1/5/2019,18:45:10,26891.5,33444.9,6208.2,4485.1,189,399,4294966986
67,1/5/2019,19:00:10,26891.5,33445,6208.2,4485.1,189,399,4294966986
68,1/5/2019,19:15:10,26891.5,33445.1,6208.3,4485.1,179,399,4294966986
69,1/5/2019,19:30:10,26891.5,33445.1,6208.3,4485.1,189,399,4294966986
70,1/5/2019,19:45:10,26891.7,33445.3,6208.5,4485.1,189,429,4294966967
71,1/5/2019,20:00:10,26891.7,33445.4,6208.6,4485.1,189,429,4294966967
72,1/5/2019,20:15:09,26891.8,33445.5,6208.6,4485.1,189,419,4294966977
73,1/5/2019,20:45:11,26891.8,33445.8,6208.8,4485.1,119,429,4294966926
74,1/5/2019,21:00:10,26891.9,33445.9,6208.8,4485.1,119,399,4294966967
75,1/5/2019,21:15:10,26891.9,33446,6209,4485.1,119,399,4294966967
76,1/5/2019,21:30:10,26891.9,33446.1,6209.1,4485.1,119,419,4294966937
77,1/5/2019,21:45:08,26892,33446.1,6209.2,4485.1,119,429,4294966926
78,1/5/2019,22:00:11,26892,33446.3,6209.2,4485.1,129,419,4294966956
79,1/5/2019,22:15:10,26892,33446.4,6209.3,4485.1,129,429,4294966947
80,1/5/2019,22:30:08,26892,33446.5,6209.3,4485.1,129,429,4294966947
81,1/5/2019,22:45:10,26892,33446.6,6209.5,4485.1,129,429,4294966947
82,1/5/2019,23:00:10,26892,33446.6,6209.6,4485.1,129,429,4294966947
83,1/5/2019,23:15:08,26892.2,33446.8,6209.7,4485.1,129,429,4294966947
84,1/5/2019,23:30:11,26892.2,33447,6209.8,4485.1,129,429,4294966947
85,1/5/2019,23:45:08,26892.2,33447.1,6209.8,4485.1,129,429,4294966947
86,2/5/2019,0:00:11,26892.3,33447.1,6209.8,4485.1,129,429,4294966947
87,2/5/2019,0:15:11,26892.3,33447.3,6210,4485.1,129,429,4294966947
88,2/5/2019,0:30:08,26892.3,33447.4,6210.1,4485.1,129,429,4294966947
89,2/5/2019,0:45:11,26892.4,33447.5,6210.2,4485.1,129,429,4294966947
90,2/5/2019,1:00:08,26892.4,33447.6,6210.3,4485.1,129,429,4294966947
91,2/5/2019,1:15:10,26892.4,33447.6,6210.3,4485.1,129,429,4294966947
92,2/5/2019,1:30:08,26892.5,33447.8,6210.5,4485.1,129,429,4294966947
93,2/5/2019,1:45:10,26892.5,33447.9,6210.6,4485.1,129,429,4294966947
94,2/5/2019,2:00:08,26892.5,33448.1,6210.6,4485.1,129,429,4294966947
95,2/5/2019,2:15:10,26892.5,33448.1,6210.7,4485.1,129,429,4294966947
96,2/5/2019,2:30:10,26892.5,33448.3,6210.8,4485.1,129,429,4294966947
97,2/5/2019,2:45:10,26892.5,33448.4,6210.8,4485.1,129,429,4294966947
98,2/5/2019,3:00:10,26892.7,33448.5,6211,4485.1,129,429,4294966947
99,2/5/2019,3:15:10,26892.7,33448.6,6211.1,4485.1,129,429,4294966947
100,2/5/2019,3:30:10,26892.7,33448.6,6211.2,4485.1,129,429,4294966947
101,2/5/2019,3:45:10,26892.8,33448.8,6211.3,4485.1,129,429,4294966947
102,2/5/2019,4:00:10,26892.8,33448.9,6211.3,4485.1,129,429,4294966947
103,2/5/2019,4:15:10,26892.8,33449.1,6211.3,4485.1,129,429,4294966947
104,2/5/2019,4:30:10,26892.9,33449.1,6211.5,4485.1,129,429,4294966947
105,2/5/2019,4:45:10,26892.9,33449.3,6211.6,4485.1,129,429,4294966947
106,2/5/2019,5:00:10,26892.9,33449.4,6211.7,4485.1,129,429,4294966947
107,2/5/2019,5:15:10,26893,33449.5,6211.8,4485.1,129,429,4294966947
108,2/5/2019,5:30:10,26893,33449.6,6211.8,4485.1,129,429,4294966947
109,2/5/2019,5:45:10,26893,33449.6,6212,4485.1,129,429,4294966947
110,2/5/2019,6:15:11,26893,33449.9,6212.1,4485.1,119,409,4294966956
111,2/5/2019,6:30:08,26893,33450,6212.2,4485.1,119,409,4294966956
112,2/5/2019,6:45:11,26893.2,33450.1,6212.3,4485.1,119,409,4294966956
113,2/5/2019,7:00:08,26893.2,33450.3,6212.3,4485.1,119,429,4294966926
114,2/5/2019,7:15:11,26893.2,33450.4,6212.5,4485.1,119,409,4294966956
115,2/5/2019,7:30:08,26893.2,33450.5,6212.6,4485.1,129,429,4294966947
