,date_recorded,time_recorded,humidity_indoor,temperature_indoor
0,01/05/2019,02:00:21,44.8,24.9
1,01/05/2019,02:15:21,44.8,24.8
2,01/05/2019,02:30:23,44.7,24.8
3,01/05/2019,02:45:21,44.7,24.8
4,01/05/2019,03:00:21,44.6,24.7
5,01/05/2019,03:15:21,44.5,24.7
6,01/05/2019,03:30:21,44.3,24.7
7,01/05/2019,03:45:21,44.1,24.7
8,01/05/2019,04:00:21,44.0,24.7
9,01/05/2019,04:15:21,43.9,24.7
10,01/05/2019,04:30:21,43.8,24.7
11,01/05/2019,04:45:21,43.7,24.7
12,01/05/2019,05:00:21,43.7,24.7
13,01/05/2019,05:15:22,43.6,24.7
14,01/05/2019,05:30:21,43.6,24.7
15,01/05/2019,05:45:21,43.5,24.6
16,01/05/2019,06:00:22,43.5,24.5
17,01/05/2019,06:15:21,43.3,24.5
18,01/05/2019,06:30:21,43.2,24.5
19,01/05/2019,06:45:22,43.2,24.5
20,01/05/2019,07:00:21,43.2,24.4
21,01/05/2019,07:15:21,43.2,24.4
22,01/05/2019,07:30:22,43.2,24.4
23,01/05/2019,07:45:21,43.1,24.4
24,01/05/2019,08:00:21,43.1,24.3
25,01/05/2019,08:15:21,43.1,24.3
26,01/05/2019,08:30:19,43.3,24.3
27,01/05/2019,08:45:22,43.5,24.3
28,01/05/2019,09:00:20,43.6,24.3
29,01/05/2019,09:15:21,43.7,24.3
30,01/05/2019,09:30:21,43.7,24.4
31,01/05/2019,09:45:21,43.7,24.4
32,01/05/2019,10:00:22,43.7,24.4
33,01/05/2019,10:15:21,43.7,24.5
34,01/05/2019,10:30:21,43.7,24.6
35,01/05/2019,10:45:22,43.7,24.7
36,01/05/2019,11:15:22,43.9,24.7
37,01/05/2019,11:30:26,44.0,24.7
38,01/05/2019,11:45:22,44.1,24.7
39,01/05/2019,12:00:22,44.0,24.8
40,01/05/2019,12:15:21,43.8,24.9
41,01/05/2019,12:30:21,43.5,24.9
42,01/05/2019,12:45:21,43.4,25.0
43,01/05/2019,13:00:21,43.3,25.0
44,01/05/2019,13:15:21,43.2,25.0
45,01/05/2019,13:30:21,43.0,25.1
46,01/05/2019,13:45:21,42.8,25.0
47,01/05/2019,14:00:19,42.5,25.1
48,01/05/2019,14:15:22,42.2,25.1
49,01/05/2019,14:30:21,42.1,25.1
50,01/05/2019,14:45:20,42.1,25.1
51,01/05/2019,15:00:21,41.8,25.1
52,01/05/2019,15:15:21,41.8,25.1
53,01/05/2019,15:30:19,41.8,25.1
54,01/05/2019,15:45:22,41.8,25.1
55,01/05/2019,16:00:19,41.9,25.1
56,01/05/2019,16:15:22,41.8,25.1
57,01/05/2019,16:30:19,41.7,25.1
58,01/05/2019,16:45:22,41.7,25.1
59,01/05/2019,17:00:19,41.5,25.1
60,01/05/2019,17:15:22,41.3,25.1
61,01/05/2019,17:30:19,41.1,25.1
62,01/05/2019,17:45:22,40.9,25.1
63,01/05/2019,18:00:19,40.2,25.1
64,01/05/2019,18:15:21,40.0,25.2
65,01/05/2019,18:30:21,39.9,25.2
66,01/05/2019,18:45:21,39.7,25.2
67,01/05/2019,19:00:21,39.7,25.2
68,01/05/2019,19:15:21,39.7,25.2
69,01/05/2019,19:30:21,39.7,25.1
70,01/05/2019,19:45:22,39.7,25.0
71,01/05/2019,20:00:22,39.8,25.0
72,01/05/2019,20:15:20,39.9,25.0
73,01/05/2019,20:45:22,40.1,24.9
74,01/05/2019,21:00:21,40.2,24.9
75,01/05/2019,21:15:21,40.3,24.8
76,01/05/2019,21:30:21,40.5,24.8
77,01/05/2019,21:45:19,40.7,24.7
78,01/05/2019,22:00:22,41.0,24.7
79,01/05/2019,22:15:21,41.3,24.7
80,01/05/2019,22:30:19,41.5,24.7
81,01/05/2019,22:45:21,41.7,24.7
82,01/05/2019,23:00:21,41.9,24.7
83,01/05/2019,23:15:19,42.0,24.7
84,01/05/2019,23:30:22,42.1,24.7
85,01/05/2019,23:45:19,42.3,24.7
86,02/05/2019,00:00:23,42.3,24.7
87,02/05/2019,00:15:22,42.5,24.7
88,02/05/2019,00:30:19,42.5,24.7
89,02/05/2019,00:45:22,42.6,24.6
90,02/05/2019,01:00:19,42.7,24.6
91,02/05/2019,01:15:21,42.7,24.5
92,02/05/2019,01:30:19,42.8,24.5
93,02/05/2019,01:45:22,42.9,24.5
94,02/05/2019,02:00:19,42.9,24.5
95,02/05/2019,02:15:21,42.9,24.4
96,02/05/2019,02:30:21,42.4,24.4
97,02/05/2019,02:45:21,41.8,24.4
98,02/05/2019,03:00:21,41.1,24.4
99,02/05/2019,03:15:22,40.9,24.3
100,02/05/2019,03:30:21,40.9,24.3
101,02/05/2019,03:45:21,41.0,24.3
102,02/05/2019,04:00:21,41.2,24.3
103,02/05/2019,04:15:21,41.3,24.3
104,02/05/2019,04:30:21,41.3,24.2
105,02/05/2019,04:45:22,41.0,24.3
106,02/05/2019,05:00:21,40.8,24.2
107,02/05/2019,05:15:21,40.6,24.2
