,Ti(t),Ta(t+1),Ps(t+1),Ph(t+1),Ti(t+1)
0,27.5,21.2,0.0,0.0,27.5
1,27.5,21.1,0.0,0.0,27.5
2,27.5,21.0,0.0,0.0,27.5
3,27.5,21.0,0.0,0.0,27.5
4,27.5,21.0,0.0,0.0,27.5
5,27.5,20.9,0.0,0.0,27.5
