Date,Flexibility,Ph moved
2019-07-26 07:15:00,-1.0,0.0
2019-07-26 07:30:00,-1.0,0.0
2019-07-26 07:45:00,-1.0,0.0
2019-07-26 08:00:00,6.0,49445.0
2019-07-26 08:15:00,7.0,58586.0
2019-07-26 08:30:00,7.0,58626.0
2019-07-26 08:45:00,8.0,67986.0
2019-07-26 09:00:00,6.0,57157.0
2019-07-26 09:15:00,7.0,58746.0
2019-07-26 09:30:00,6.0,48807.0
2019-07-26 09:45:00,7.0,61515.0
2019-07-26 10:00:00,6.0,52175.0
2019-07-26 10:15:00,6.0,52915.0
2019-07-26 10:30:00,6.0,53794.0
2019-07-26 10:45:00,6.0,58644.0
2019-07-26 11:00:00,5.0,52865.0
2019-07-26 11:15:00,5.0,52735.0
2019-07-26 11:30:00,4.0,41996.0
2019-07-26 11:45:00,4.0,42136.0
2019-07-26 12:00:00,4.0,42476.0
2019-07-26 12:15:00,4.0,42996.0
2019-07-26 12:30:00,4.0,41876.0
2019-07-26 12:45:00,4.0,40737.0
2019-07-26 13:00:00,4.0,40797.0
2019-07-26 13:15:00,5.0,39757.0
2019-07-26 13:30:00,4.0,29698.0
2019-07-26 13:45:00,5.0,41177.0
2019-07-26 14:00:00,5.0,30727.0
2019-07-26 14:15:00,4.0,26017.0
2019-07-26 14:30:00,4.0,30847.0
2019-07-26 14:45:00,4.0,24487.0
2019-07-26 15:00:00,4.0,17316.0
2019-07-26 15:15:00,3.0,17187.0
2019-07-26 15:30:00,2.0,7408.0
2019-07-26 15:45:00,2.0,3468.0
2019-07-26 16:00:00,2.0,129.0
2019-07-26 16:45:00,-1.0,0.0
2019-07-26 17:00:00,-1.0,0.0
2019-07-26 17:15:00,-1.0,0.0
2019-07-26 17:30:00,-1.0,0.0
2019-07-26 17:45:00,-1.0,0.0
2019-07-26 18:00:00,-1.0,0.0
