,Ti(t),Ta(t+1),Ps(t+1),Ph(t+1),dTi(t+1)
0,27.5,20.7,0.0,0.0,0.0
1,27.5,20.5,0.0,0.0,0.0
2,27.5,20.3,0.0,0.0,0.0
3,27.5,20.2,0.0,0.0,0.0
4,27.5,20.2,0.0,0.0,-0.1
5,27.4,20.1,0.0,0.0,0.0
