,date_recorded,time_recorded,humidity_indoor,temperature_indoor
0,01/05/2019,02:00:20,48.6,23.6
1,01/05/2019,02:15:20,48.6,23.6
2,01/05/2019,02:30:20,48.6,23.6
3,01/05/2019,02:45:20,48.6,23.5
4,01/05/2019,03:00:20,48.6,23.5
5,01/05/2019,03:15:20,48.5,23.5
6,01/05/2019,03:30:20,48.4,23.5
7,01/05/2019,03:45:20,48.3,23.5
8,01/05/2019,04:00:20,48.2,23.5
9,01/05/2019,04:15:20,48.1,23.4
10,01/05/2019,04:30:20,48.1,23.4
11,01/05/2019,04:45:20,47.9,23.4
12,01/05/2019,05:00:19,47.9,23.4
13,01/05/2019,05:15:20,47.9,23.4
14,01/05/2019,05:30:20,47.8,23.4
15,01/05/2019,05:45:20,47.7,23.4
16,01/05/2019,06:00:20,47.7,23.3
17,01/05/2019,06:15:20,47.5,23.3
18,01/05/2019,06:30:20,47.4,23.3
19,01/05/2019,06:45:20,47.4,23.3
20,01/05/2019,07:00:20,47.4,23.3
21,01/05/2019,07:15:19,47.3,23.3
22,01/05/2019,07:30:20,47.3,23.3
23,01/05/2019,07:45:19,47.2,23.3
24,01/05/2019,08:00:19,47.1,23.3
25,01/05/2019,08:15:20,47.1,23.2
26,01/05/2019,08:30:17,47.2,23.2
27,01/05/2019,08:45:20,47.2,23.2
28,01/05/2019,09:00:18,47.3,23.2
29,01/05/2019,09:15:19,47.3,23.1
30,01/05/2019,09:30:20,47.4,23.1
31,01/05/2019,09:45:19,47.5,23.1
32,01/05/2019,10:00:20,47.2,23.2
33,01/05/2019,10:15:20,47.2,23.2
34,01/05/2019,10:30:20,47.2,23.2
35,01/05/2019,10:45:20,47.2,23.2
36,01/05/2019,11:15:21,48.1,23.1
37,01/05/2019,11:30:23,48.1,23.1
38,01/05/2019,11:45:20,48.3,23.1
39,01/05/2019,12:00:20,47.8,23.2
40,01/05/2019,12:15:20,47.8,23.2
41,01/05/2019,12:30:20,47.6,23.3
42,01/05/2019,12:45:20,47.4,23.3
43,01/05/2019,13:00:20,47.3,23.3
44,01/05/2019,13:15:20,47.3,23.3
45,01/05/2019,13:30:20,47.1,23.3
46,01/05/2019,13:45:19,46.9,23.3
47,01/05/2019,14:00:18,46.8,23.3
48,01/05/2019,14:15:20,46.4,23.3
49,01/05/2019,14:30:20,46.0,23.3
50,01/05/2019,14:45:18,45.8,23.3
51,01/05/2019,15:00:20,45.7,23.3
52,01/05/2019,15:15:20,45.6,23.3
53,01/05/2019,15:30:17,45.6,23.2
54,01/05/2019,15:45:20,45.7,23.2
55,01/05/2019,16:00:18,45.6,23.2
56,01/05/2019,16:15:20,45.7,23.2
57,01/05/2019,16:30:18,45.6,23.3
58,01/05/2019,16:45:20,45.6,23.3
59,01/05/2019,17:00:18,45.5,23.3
60,01/05/2019,17:15:21,45.3,23.3
61,01/05/2019,17:30:17,45.2,23.3
62,01/05/2019,17:45:20,45.1,23.3
63,01/05/2019,18:00:18,44.4,23.3
64,01/05/2019,18:15:20,44.4,23.3
65,01/05/2019,18:30:20,44.6,23.3
66,01/05/2019,18:45:20,44.3,23.2
67,01/05/2019,19:00:20,44.1,23.2
68,01/05/2019,19:15:20,43.7,23.2
69,01/05/2019,19:30:20,43.9,23.2
70,01/05/2019,19:45:20,43.7,23.2
71,01/05/2019,20:00:20,43.9,23.2
72,01/05/2019,20:15:19,43.9,23.2
73,01/05/2019,20:45:20,44.0,23.2
74,01/05/2019,21:00:19,44.0,23.2
75,01/05/2019,21:15:20,44.1,23.1
76,01/05/2019,21:30:19,44.2,23.1
77,01/05/2019,21:45:18,44.3,23.1
