,date_recorded,time_recorded,humidity_indoor,temperature_indoor
0,01/05/2019,02:00:22,44.0,25.2
1,01/05/2019,02:15:22,43.9,25.2
2,01/05/2019,02:30:24,43.8,25.2
3,01/05/2019,02:45:22,43.7,25.2
4,01/05/2019,03:00:22,43.6,25.2
5,01/05/2019,03:15:22,43.5,25.2
6,01/05/2019,03:30:22,43.3,25.2
7,01/05/2019,03:45:22,43.2,25.2
8,01/05/2019,04:00:22,43.0,25.2
9,01/05/2019,04:15:22,42.8,25.2
10,01/05/2019,04:30:22,42.7,25.2
11,01/05/2019,04:45:22,42.5,25.2
12,01/05/2019,05:00:22,42.5,25.2
13,01/05/2019,05:15:22,42.4,25.2
14,01/05/2019,05:30:22,42.3,25.2
15,01/05/2019,05:45:22,42.2,25.1
16,01/05/2019,06:00:24,42.2,25.1
17,01/05/2019,06:15:22,42.1,25.1
18,01/05/2019,06:30:22,42.0,25.1
19,01/05/2019,06:45:22,41.9,25.1
20,01/05/2019,07:00:22,41.8,25.1
21,01/05/2019,07:15:22,41.7,25.1
22,01/05/2019,07:30:22,41.7,25.1
23,01/05/2019,07:45:22,41.7,25.0
24,01/05/2019,08:00:22,41.6,25.0
25,01/05/2019,08:15:22,41.6,25.0
26,01/05/2019,08:30:22,41.6,25.0
27,01/05/2019,08:45:22,41.6,25.1
28,01/05/2019,09:00:20,41.7,25.0
29,01/05/2019,09:15:22,41.8,25.0
30,01/05/2019,09:30:22,41.9,25.1
31,01/05/2019,09:45:22,41.9,25.1
32,01/05/2019,10:00:22,41.9,25.1
33,01/05/2019,10:15:22,41.9,25.2
34,01/05/2019,10:30:22,42.0,25.2
35,01/05/2019,10:45:22,42.0,25.3
36,01/05/2019,11:15:23,42.2,25.4
37,01/05/2019,11:30:27,42.3,25.5
38,01/05/2019,11:45:23,42.4,25.5
39,01/05/2019,12:00:22,42.3,25.5
40,01/05/2019,12:15:22,42.0,25.6
41,01/05/2019,12:30:22,41.7,25.7
42,01/05/2019,12:45:22,41.6,25.7
43,01/05/2019,13:00:22,41.5,25.7
44,01/05/2019,13:15:22,41.4,25.7
45,01/05/2019,13:30:22,41.1,25.8
46,01/05/2019,13:45:22,40.9,25.8
47,01/05/2019,14:00:20,40.5,25.8
48,01/05/2019,14:15:23,40.2,25.8
49,01/05/2019,14:30:22,40.0,25.8
50,01/05/2019,14:45:20,39.8,25.8
51,01/05/2019,15:00:22,39.7,25.7
52,01/05/2019,15:15:22,39.7,25.7
53,01/05/2019,15:30:20,39.8,25.7
54,01/05/2019,15:45:23,39.9,25.7
55,01/05/2019,16:00:20,39.9,25.7
56,01/05/2019,16:15:22,39.9,25.7
57,01/05/2019,16:30:20,39.9,25.7
58,01/05/2019,16:45:22,39.8,25.7
59,01/05/2019,17:00:20,39.8,25.7
60,01/05/2019,17:15:23,39.5,25.7
61,01/05/2019,17:30:20,39.4,25.6
62,01/05/2019,17:45:22,39.4,25.7
63,01/05/2019,18:00:20,39.0,25.6
64,01/05/2019,18:15:22,38.7,25.7
65,01/05/2019,18:30:22,38.5,25.7
66,01/05/2019,18:45:22,38.3,25.7
67,01/05/2019,19:00:22,38.3,25.7
68,01/05/2019,19:15:22,37.5,25.7
69,01/05/2019,19:30:22,37.6,25.7
70,01/05/2019,19:45:22,37.6,25.7
71,01/05/2019,20:00:23,37.9,25.6
72,01/05/2019,20:15:21,38.1,25.6
73,01/05/2019,20:45:22,38.7,25.6
74,01/05/2019,21:00:22,38.8,25.6
75,01/05/2019,21:15:22,38.7,25.6
76,01/05/2019,21:30:22,38.7,25.5
77,01/05/2019,21:45:20,38.8,25.5
78,01/05/2019,22:00:23,38.9,25.5
79,01/05/2019,22:15:22,39.0,25.5
80,01/05/2019,22:30:20,39.2,25.5
81,01/05/2019,22:45:22,39.3,25.5
82,01/05/2019,23:00:22,39.5,25.5
83,01/05/2019,23:15:20,39.6,25.4
84,01/05/2019,23:30:23,39.7,25.4
85,01/05/2019,23:45:20,39.8,25.4
86,02/05/2019,00:00:24,40.0,25.4
87,02/05/2019,00:15:23,40.0,25.4
88,02/05/2019,00:30:20,40.1,25.4
89,02/05/2019,00:45:22,40.2,25.3
90,02/05/2019,01:00:20,40.2,25.3
91,02/05/2019,01:15:22,40.3,25.3
92,02/05/2019,01:30:20,40.4,25.3
93,02/05/2019,01:45:23,40.4,25.3
94,02/05/2019,02:00:20,40.4,25.3
95,02/05/2019,02:15:22,40.4,25.3
96,02/05/2019,02:30:22,40.3,25.2
97,02/05/2019,02:45:22,40.0,25.2
98,02/05/2019,03:00:22,39.7,25.2
99,02/05/2019,03:15:22,39.4,25.2
100,02/05/2019,03:30:22,39.3,25.2
101,02/05/2019,03:45:22,39.2,25.1
102,02/05/2019,04:00:22,39.2,25.1
103,02/05/2019,04:15:22,39.2,25.1
104,02/05/2019,04:30:22,39.1,25.1
105,02/05/2019,04:45:23,39.0,25.1
106,02/05/2019,05:00:22,38.9,25.1
107,02/05/2019,05:15:22,38.8,25.1
108,02/05/2019,05:30:22,38.7,25.1
109,02/05/2019,05:45:22,38.5,25.1
110,02/05/2019,06:15:23,38.2,25.0
111,02/05/2019,06:30:20,38.1,25.0
112,02/05/2019,06:45:23,38.0,25.0
113,02/05/2019,07:00:20,38.0,25.0
114,02/05/2019,07:15:23,37.8,25.0
115,02/05/2019,07:30:20,37.8,25.0
116,02/05/2019,07:45:22,37.6,25.1
117,02/05/2019,08:00:20,38.7,24.5
118,02/05/2019,08:15:23,39.6,24.4
119,02/05/2019,08:30:20,40.3,24.4
120,02/05/2019,08:45:22,40.7,24.5
121,02/05/2019,09:00:20,40.8,24.6
122,02/05/2019,09:15:22,41.2,24.7
123,02/05/2019,09:30:22,41.1,24.7
124,02/05/2019,09:45:22,41.4,24.9
125,02/05/2019,10:00:22,41.7,25.0
126,02/05/2019,10:15:22,41.1,25.0
127,02/05/2019,10:30:22,40.7,25.0
128,02/05/2019,10:45:22,40.7,25.1
129,02/05/2019,11:00:24,41.5,25.1
130,02/05/2019,11:15:22,40.8,25.1
131,02/05/2019,11:30:22,41.0,25.2
132,02/05/2019,11:45:22,41.2,25.3
133,02/05/2019,12:00:21,41.4,25.4
134,02/05/2019,12:15:23,42.1,25.5
135,02/05/2019,12:30:21,42.4,25.4
136,02/05/2019,12:45:21,42.8,25.6
137,02/05/2019,13:00:21,43.2,25.6
138,02/05/2019,13:15:21,43.2,25.7
139,02/05/2019,13:30:21,43.1,25.8
140,02/05/2019,13:45:21,43.2,25.8
141,02/05/2019,14:00:21,42.4,25.4
142,02/05/2019,14:15:21,42.7,25.8
143,02/05/2019,14:30:21,42.9,25.9
144,02/05/2019,14:45:21,41.3,25.1
145,02/05/2019,15:00:21,44.6,25.0
146,02/05/2019,15:15:21,44.8,25.2
147,02/05/2019,15:45:21,46.1,25.5
148,02/05/2019,16:00:21,44.3,25.5
149,02/05/2019,16:15:21,42.1,25.5
150,02/05/2019,16:30:21,46.7,25.5
151,02/05/2019,16:45:21,46.8,25.7
152,02/05/2019,17:00:21,45.8,25.7
153,02/05/2019,17:15:21,44.8,25.8
154,02/05/2019,17:30:21,44.7,25.9
155,02/05/2019,17:45:21,43.0,25.8
156,02/05/2019,18:00:21,41.3,25.8
157,02/05/2019,18:15:21,40.2,25.7
158,02/05/2019,18:30:21,39.6,25.8
159,02/05/2019,18:45:21,38.8,25.8
160,02/05/2019,19:00:21,39.4,25.9
161,02/05/2019,19:15:21,41.3,26.1
162,02/05/2019,19:30:24,40.9,26.3
163,02/05/2019,19:45:21,40.3,26.3
164,02/05/2019,20:00:21,39.9,26.2
165,02/05/2019,20:15:21,40.2,26.2
166,02/05/2019,20:30:21,40.0,26.2
167,02/05/2019,20:45:21,39.8,26.2
168,02/05/2019,21:00:21,39.6,26.2
169,02/05/2019,21:15:21,39.6,26.2
