,2020-02-26 07:00:00,2020-02-26 07:15:00,2020-02-26 07:30:00,2020-02-26 07:45:00,2020-02-26 08:00:00,2020-02-26 08:15:00,2020-02-26 08:30:00,2020-02-26 10:30:00,2020-02-26 10:45:00,2020-02-26 11:00:00,2020-02-26 11:15:00,2020-02-26 11:30:00,2020-02-26 11:45:00,2020-02-26 12:00:00,2020-02-26 12:15:00,2020-02-26 12:30:00,2020-02-26 12:45:00,2020-02-26 13:00:00,2020-02-26 13:15:00,2020-02-26 13:30:00,2020-02-26 13:45:00,2020-02-26 14:00:00,2020-02-26 14:45:00,2020-02-26 15:00:00,2020-02-26 15:15:00
0,23.80000114440918,23.80000114440918,23.10000228881836,23.200000762939453,22.899999618530273,22.899999618530273,23.30000114440918,24.299999237060547,24.400001525878906,24.500001907348633,24.600000381469727,24.400001525878906,24.400001525878906,24.500001907348633,24.10000228881836,24.200002670288086,24.400001525878906,24.299999237060547,24.299999237060547,24.400001525878906,24.500001907348633,24.500001907348633,25.5,25.60000228881836,25.60000228881836
1,23.799161911010742,23.306720733642578,,,,,,24.39173698425293,24.495819091796875,24.530956268310547,24.651506423950195,24.463048934936523,24.079750061035156,24.583532333374023,24.181217193603516,24.275978088378906,24.467679977416992,24.373388290405273,24.375385284423828,24.471986770629883,24.569055557250977,24.5844669342041,,,
2,23.798328399658203,,,,,,,24.473634719848633,24.577592849731445,24.612796783447266,,24.544734954833984,24.161226272583008,24.665584564208984,24.262556076049805,24.357501983642578,24.549365997314453,24.4554386138916,24.45762825012207,24.555213928222656,24.65328025817871,24.66948890686035,,,
3,23.797475814819336,,,,,,,24.555408477783203,24.65943717956543,24.694936752319336,,24.627052307128906,24.24250030517578,,24.34404754638672,24.438989639282227,24.631702423095703,24.537824630737305,24.54083251953125,24.63942527770996,,,,,
4,23.796611785888672,,,,,,,24.637252807617188,,,,,24.324005126953125,,24.425506591796875,24.521163940429688,,24.62114143371582,24.62502670288086,,,,,,
5,23.795719146728516,,,,,,,,,,,,24.405637741088867,,24.507658004760742,24.60364532470703,,,,,,,,,
6,23.794771194458008,,,,,,,,,,,,24.487218856811523,,24.59012222290039,24.68703269958496,,,,,,,,,
7,23.793865203857422,,,,,,,,,,,,24.56947135925293,,24.673498153686523,,,,,,,,,,
8,23.792972564697266,,,,,,,,,,,,24.652009963989258,,,,,,,,,,,,
9,23.792095184326172,,,,,,,,,,,,,,,,,,,,,,,,
10,23.79146385192871,,,,,,,,,,,,,,,,,,,,,,,,
11,23.826847076416016,,,,,,,,,,,,,,,,,,,,,,,,
12,23.90415382385254,,,,,,,,,,,,,,,,,,,,,,,,
13,23.975278854370117,,,,,,,,,,,,,,,,,,,,,,,,
14,24.056461334228516,,,,,,,,,,,,,,,,,,,,,,,,
15,24.137840270996094,,,,,,,,,,,,,,,,,,,,,,,,
16,24.21963119506836,,,,,,,,,,,,,,,,,,,,,,,,
17,24.30122184753418,,,,,,,,,,,,,,,,,,,,,,,,
18,24.382877349853516,,,,,,,,,,,,,,,,,,,,,,,,
19,24.46483612060547,,,,,,,,,,,,,,,,,,,,,,,,
20,24.546524047851562,,,,,,,,,,,,,,,,,,,,,,,,
21,24.628843307495117,,,,,,,,,,,,,,,,,,,,,,,,
