,2020-02-26 07:00:00,2020-02-26 07:15:00,2020-02-26 10:30:00,2020-02-26 10:45:00,2020-02-26 11:00:00,2020-02-26 11:15:00,2020-02-26 11:30:00,2020-02-26 11:45:00,2020-02-26 12:00:00,2020-02-26 12:15:00,2020-02-26 12:30:00,2020-02-26 12:45:00,2020-02-26 13:00:00,2020-02-26 13:15:00,2020-02-26 13:30:00,2020-02-26 13:45:00,2020-02-26 14:00:00
0,23.798709869384766,23.303783416748047,24.407175064086914,24.525712966918945,24.544282913208008,24.672779083251953,24.505958557128906,24.174266815185547,24.593130111694336,24.262739181518555,24.352279663085938,24.52790641784668,24.44640350341797,24.44565773010254,24.53095817565918,24.614948272705078,24.580114364624023
1,23.79743194580078,,24.485923767089844,24.604827880859375,24.624473571777344,,24.590436935424805,24.260950088500977,24.67683219909668,24.35358238220215,24.442007064819336,24.61623191833496,24.532968521118164,24.530595779418945,24.610891342163086,24.691600799560547,24.65637969970703
2,23.79611587524414,,24.565608978271484,24.684009552001953,,,24.670495986938477,24.351070404052734,,24.443283081054688,24.53220558166504,24.699514389038086,24.616350173950195,24.61053466796875,24.687589645385742,,
3,23.79478645324707,,24.64544677734375,,,,,24.440263748168945,,24.5334529876709,24.61713981628418,,24.695024490356445,24.687238693237305,,,
4,23.793420791625977,,,,,,,24.52825927734375,,24.618364334106445,24.698965072631836,,,,,,
5,23.791929244995117,,,,,,,24.6165771484375,,24.700166702270508,,,,,,,
6,23.790424346923828,,,,,,,24.699851989746094,,,,,,,,,
7,23.788928985595703,,,,,,,,,,,,,,,,
8,23.787445068359375,,,,,,,,,,,,,,,,
9,23.786020278930664,,,,,,,,,,,,,,,,
10,23.847089767456055,,,,,,,,,,,,,,,,
11,23.928668975830078,,,,,,,,,,,,,,,,
12,24.01009750366211,,,,,,,,,,,,,,,,
13,24.091665267944336,,,,,,,,,,,,,,,,
14,24.172861099243164,,,,,,,,,,,,,,,,
15,24.253931045532227,,,,,,,,,,,,,,,,
16,24.336801528930664,,,,,,,,,,,,,,,,
17,24.420299530029297,,,,,,,,,,,,,,,,
18,24.50347137451172,,,,,,,,,,,,,,,,
19,24.587997436523438,,,,,,,,,,,,,,,,
20,24.66809844970703,,,,,,,,,,,,,,,,
