,Ti(t),Ta(t+1),Ps(t+1),Ph(t+1),dTi(t+1)
0,23.4,13.9,0.0,0.0,0.0
1,23.4,13.8,0.0,0.0,0.0
2,23.4,13.7,0.0,0.0,0.0
3,23.4,13.8,0.0,0.0,0.0
4,23.4,13.9,0.0,0.0,0.0
5,23.4,13.9,0.0,0.0,-0.1
