,Ti(t),Ta(t+1),Ps(t+1),Ph(t+1),Ti(t+1)
0,29.4,24.9,0.0,0.0,29.4
1,29.4,24.9,0.0,0.0,29.4
2,29.4,24.9,0.0,0.0,29.4
3,29.4,25.0,0.0,0.0,29.4
4,29.4,25.0,0.0,0.0,29.4
5,29.4,25.0,0.0,0.0,29.4
